id,Biosample.Summary,Biosample,GROUP,SECONDARY,COLOR,category,infoline,age,sex,type,origin,perturb,lifestage,Project2,Mark,Status,Life.Stage,Age,Age.Units,Sex,Treatment,Duration,Duration.Units,Multi.donor.,Donor.IDs,collated.DONORS,Accession,Assay,Target,Project,Lab,Month.Submitted,Replication.Type,Biosample.IDS,Link
BSS00039,adipocyte originated from mesenchymal stem cell,adipocyte,Mesench,Adipose,#B65C73,Tissue,ADIPOCYTE FROM MSC,"41,59",female,in vitro differentiated cells,,,adult,Roadmap 2015,H3K9ac,released,adult,"59,41",year,female,,NA,,No,"ENCDO477HWZ,ENCDO535TMW","ENCDO477HWZ,ENCDO535TMW,ENCDO535TMW,ENCDO477HWZ",ENCSR162VXO,ChIP-seq,H3K9ac,Roadmap,/labs/bradley-bernstein/,"July, 2013",anisogenic,"ENCBS218JBL,ENCBS418SWL",/experiments/ENCSR162VXO/
BSS00039,adipocyte originated from mesenchymal stem cell,adipocyte,Mesench,Adipose,#B65C73,Tissue,ADIPOCYTE FROM MSC,"41,59",female,in vitro differentiated cells,,,adult,Roadmap 2015,H3K4me3,released,adult,"59,41",year,female,,NA,,No,"ENCDO477HWZ,ENCDO535TMW","ENCDO477HWZ,ENCDO535TMW,ENCDO535TMW,ENCDO477HWZ",ENCSR367VRA,ChIP-seq,H3K4me3,Roadmap,/labs/bradley-bernstein/,"July, 2013",anisogenic,"ENCBS218JBL,ENCBS418SWL",/experiments/ENCSR367VRA/
BSS00039,adipocyte originated from mesenchymal stem cell,adipocyte,Mesench,Adipose,#B65C73,Tissue,ADIPOCYTE FROM MSC,"41,59",female,in vitro differentiated cells,,,adult,Roadmap 2015,H3K27me3,released,adult,"59,41",year,female,,NA,,No,"ENCDO477HWZ,ENCDO535TMW","ENCDO477HWZ,ENCDO535TMW,ENCDO535TMW,ENCDO477HWZ",ENCSR769HUN,ChIP-seq,H3K27me3,Roadmap,/labs/bradley-bernstein/,"July, 2013",anisogenic,"ENCBS218JBL,ENCBS418SWL",/experiments/ENCSR769HUN/
BSS00039,adipocyte originated from mesenchymal stem cell,adipocyte,Mesench,Adipose,#B65C73,Tissue,ADIPOCYTE FROM MSC,"41,59",female,in vitro differentiated cells,,,adult,Roadmap 2015,H3K4me1,released,adult,"59,41",year,female,,NA,,No,"ENCDO477HWZ,ENCDO535TMW","ENCDO477HWZ,ENCDO535TMW,ENCDO535TMW,ENCDO477HWZ",ENCSR115VDV,ChIP-seq,H3K4me1,Roadmap,/labs/bradley-bernstein/,"July, 2013",anisogenic,"ENCBS218JBL,ENCBS418SWL",/experiments/ENCSR115VDV/
BSS00039,adipocyte originated from mesenchymal stem cell,adipocyte,Mesench,Adipose,#B65C73,Tissue,ADIPOCYTE FROM MSC,"41,59",female,in vitro differentiated cells,,,adult,Roadmap 2015,H3K9me3,released,adult,"41,59",year,female,,NA,,No,"ENCDO535TMW,ENCDO477HWZ","ENCDO477HWZ,ENCDO535TMW,ENCDO535TMW,ENCDO477HWZ",ENCSR201GCJ,ChIP-seq,H3K9me3,Roadmap,/labs/bradley-bernstein/,"July, 2013",anisogenic,"ENCBS418SWL,ENCBS218JBL",/experiments/ENCSR201GCJ/
BSS00039,adipocyte originated from mesenchymal stem cell,adipocyte,Mesench,Adipose,#B65C73,Tissue,ADIPOCYTE FROM MSC,"41,59",female,in vitro differentiated cells,,,adult,Roadmap 2015,H3K36me3,released,adult,"59,41",year,female,,NA,,No,"ENCDO477HWZ,ENCDO535TMW","ENCDO477HWZ,ENCDO535TMW,ENCDO535TMW,ENCDO477HWZ",ENCSR136ZNV,ChIP-seq,H3K36me3,Roadmap,/labs/bradley-bernstein/,"July, 2013",anisogenic,"ENCBS218JBL,ENCBS418SWL",/experiments/ENCSR136ZNV/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K79me2,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000ARB,ChIP-seq,H3K79me2,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000ARB/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H4K20me1,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000ARC,ChIP-seq,H4K20me1,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000ARC/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K4me3,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000ARA,ChIP-seq,H3K4me3,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS688JZQ,ENCBS282AAA",/experiments/ENCSR000ARA/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H2AFZ,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000AQV,ChIP-seq,H2AFZ,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000AQV/
